Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,14.427607668992371,3,CornflowerBlue,C
2,1851,16.92029566762873,4,LightYellow,D
3,1852,16.248720297023628,4,LightYellow,D
4,1853,14.98447788336299,3,CornflowerBlue,C
5,1854,18.4261775323396,4,LightYellow,D
6,1855,17.40548192566012,4,LightYellow,D
7,1856,15.600277500609328,4,LightYellow,D
8,1857,17.294484991272878,4,LightYellow,D
9,1858,14.685342271762375,3,CornflowerBlue,C
10,1859,15.318007630625207,4,LightYellow,D
11,1860,18.153062127710875,4,LightYellow,D
12,1861,16.98392804495161,4,LightYellow,D
13,1862,16.035383148489846,4,LightYellow,D
14,1863,14.169524680921961,3,CornflowerBlue,C
15,1864,13.154410060868514,3,CornflowerBlue,C
16,1865,18.108536528990054,4,LightYellow,D
17,1866,15.56147411032566,4,LightYellow,D
18,1867,16.017697379611516,4,LightYellow,D
19,1868,14.707127908969932,3,CornflowerBlue,C
20,1869,14.976018759852854,3,CornflowerBlue,C
21,1870,15.740619319209552,4,LightYellow,D
22,1871,14.157705388169228,3,CornflowerBlue,C
23,1872,14.246200543873407,3,CornflowerBlue,C
24,1873,14.791859824722978,3,CornflowerBlue,C
25,1874,14.223348481886376,3,CornflowerBlue,C
26,1875,16.47693857157133,4,LightYellow,D
27,1876,15.999857528391297,4,LightYellow,D
28,1877,13.866189784616955,3,CornflowerBlue,C
29,1878,14.86007720299191,3,CornflowerBlue,C
30,1879,18.035808115063563,4,LightYellow,D
31,1880,17.223190004745508,4,LightYellow,D
32,1881,16.74030718100637,4,LightYellow,D
33,1882,17.813548378443667,4,LightYellow,D
34,1883,15.128932546025124,4,LightYellow,D
35,1884,14.72491138551183,3,CornflowerBlue,C
36,1885,16.749029171486892,4,LightYellow,D
37,1886,14.843545058752374,3,CornflowerBlue,C
38,1887,16.43989356794109,4,LightYellow,D
39,1888,14.027449216514938,3,CornflowerBlue,C
40,1889,15.419353750207538,4,LightYellow,D
41,1890,16.204731738978975,4,LightYellow,D
42,1891,17.178121982505107,4,LightYellow,D
43,1892,15.77499686682253,4,LightYellow,D
44,1893,17.145262030588707,4,LightYellow,D
45,1894,15.374870975449467,4,LightYellow,D
46,1895,15.709726073710913,4,LightYellow,D
47,1896,16.215700787874166,4,LightYellow,D
48,1897,17.00166052537978,4,LightYellow,D
49,1898,14.899593136821188,3,CornflowerBlue,C
50,1899,14.75993129490337,3,CornflowerBlue,C
51,1900,15.761749604455293,4,LightYellow,D
52,1901,14.818937051951227,3,CornflowerBlue,C
53,1902,15.189806242340262,4,LightYellow,D
54,1903,16.433845582778872,4,LightYellow,D
55,1904,16.303417575688446,4,LightYellow,D
56,1905,17.57524179469402,4,LightYellow,D
57,1906,16.441732235150727,4,LightYellow,D
58,1907,16.363993287362522,4,LightYellow,D
59,1908,17.42942854381818,4,LightYellow,D
60,1909,15.65092892067172,4,LightYellow,D
61,1910,15.266406386610141,4,LightYellow,D
62,1911,15.894201135373137,4,LightYellow,D
63,1912,18.830413332419226,4,LightYellow,D
64,1913,15.945777768302529,4,LightYellow,D
65,1914,17.25109724037843,4,LightYellow,D
66,1915,16.623308789386517,4,LightYellow,D
67,1916,19.156410477107602,4,LightYellow,D
68,1917,15.031324378012746,4,LightYellow,D
69,1918,15.97075502034636,4,LightYellow,D
70,1919,16.001811985138975,4,LightYellow,D
71,1920,16.21365744290133,4,LightYellow,D
72,1921,17.516016803877374,4,LightYellow,D
73,1922,18.22761178264388,4,LightYellow,D
74,1923,15.240864344064716,4,LightYellow,D
75,1924,16.242774542973464,4,LightYellow,D
76,1925,16.54493455507443,4,LightYellow,D
77,1926,17.707550096656018,4,LightYellow,D
78,1927,16.877407135955682,4,LightYellow,D
79,1928,15.635053216176997,4,LightYellow,D
80,1929,17.784732251843543,4,LightYellow,D
81,1930,15.557449777167287,4,LightYellow,D
82,1931,16.989625547091414,4,LightYellow,D
83,1932,18.493768142590977,4,LightYellow,D
84,1933,16.53599256837671,4,LightYellow,D
85,1934,16.059001812628885,4,LightYellow,D
86,1935,16.938932378818972,4,LightYellow,D
87,1936,15.881184507301851,4,LightYellow,D
88,1937,19.219454775799143,4,LightYellow,D
89,1938,18.556647281310575,4,LightYellow,D
90,1939,18.47068706911132,4,LightYellow,D
91,1940,16.06730525452175,4,LightYellow,D
92,1941,18.050182901765563,4,LightYellow,D
93,1942,19.004645469453138,4,LightYellow,D
94,1943,18.26826535970094,4,LightYellow,D
95,1944,17.492770912256308,4,LightYellow,D
96,1945,16.9689726368124,4,LightYellow,D
97,1946,18.031247887497322,4,LightYellow,D
98,1947,18.829119542440903,4,LightYellow,D
99,1948,18.077892802447508,4,LightYellow,D
100,1949,18.219709772773406,4,LightYellow,D
101,1950,15.721037848582876,4,LightYellow,D
102,1951,14.095997474670689,3,CornflowerBlue,C
103,1952,16.791094106134807,4,LightYellow,D
104,1953,18.70295099200189,4,LightYellow,D
105,1954,15.362543434155494,4,LightYellow,D
106,1955,18.369779085671027,4,LightYellow,D
107,1956,16.624412026503304,4,LightYellow,D
108,1957,18.150394400206526,4,LightYellow,D
109,1958,18.515122015089123,4,LightYellow,D
110,1959,18.212247497447724,4,LightYellow,D
111,1960,16.44146019586202,4,LightYellow,D
112,1961,17.03580997063631,4,LightYellow,D
113,1962,15.630359420784071,4,LightYellow,D
114,1963,15.617703784494127,4,LightYellow,D
115,1964,16.694281219014947,4,LightYellow,D
116,1965,16.7101485213233,4,LightYellow,D
117,1966,16.604947634461933,4,LightYellow,D
118,1967,17.652411766506738,4,LightYellow,D
119,1968,15.525326877229427,4,LightYellow,D
120,1969,18.04638416797541,4,LightYellow,D
121,1970,16.79708500487516,4,LightYellow,D
122,1971,17.306600793387478,4,LightYellow,D
123,1972,19.792814360824732,4,LightYellow,D
124,1973,16.93803755616709,4,LightYellow,D
125,1974,16.603744591891083,4,LightYellow,D
126,1975,18.269556659032155,4,LightYellow,D
127,1976,18.4203464588957,4,LightYellow,D
128,1977,17.191733758743045,4,LightYellow,D
129,1978,18.589673094839387,4,LightYellow,D
130,1979,17.507915481079248,4,LightYellow,D
131,1980,17.182693523896663,4,LightYellow,D
132,1981,20.250105469606705,5,Vanilla,E
133,1982,17.82250431655201,4,LightYellow,D
134,1983,20.20594137577726,5,Vanilla,E
135,1984,18.982719069592253,4,LightYellow,D
136,1985,19.435182511215995,4,LightYellow,D
137,1986,20.36194876588248,5,Vanilla,E
138,1987,21.75915906577823,5,Vanilla,E
139,1988,19.575680348406088,4,LightYellow,D
140,1989,16.562541121648547,4,LightYellow,D
141,1990,16.645066319283586,4,LightYellow,D
142,1991,17.888234760675363,4,LightYellow,D
143,1992,17.63571691215259,4,LightYellow,D
144,1993,17.70465670528279,4,LightYellow,D
145,1994,18.870799676708444,4,LightYellow,D
146,1995,17.233413851283828,4,LightYellow,D
147,1996,18.03564791811555,4,LightYellow,D
148,1997,18.5472641125686,4,LightYellow,D
149,1998,21.19378563080893,5,Vanilla,E
150,1999,22.33712559700615,5,Vanilla,E
151,2000,20.236362556983828,5,Vanilla,E
152,2001,17.29166603088379,4,LightYellow,D
153,2002,18.966665267944336,4,LightYellow,D
154,2003,17.433334350585938,4,LightYellow,D
155,2004,21.008333206176758,5,Vanilla,E
156,2005,20.07499885559082,5,Vanilla,E
157,2006,17.73333168029785,4,LightYellow,D
158,2007,22.508333206176758,5,Vanilla,E
159,2008,23.82499885559082,5,Vanilla,E
160,2009,21.058330535888672,5,Vanilla,E
161,2010,17.299999237060547,4,LightYellow,D
162,2011,21.64166831970215,5,Vanilla,E
163,2012,19.91666603088379,4,LightYellow,D
164,2013,16.024999618530273,4,LightYellow,D
165,2014,16.10833168029785,4,LightYellow,D
166,2015,25.975000381469727,5,Vanilla,E
167,2016,22.33333396911621,5,Vanilla,E
168,2017,20.524999618530273,5,Vanilla,E
169,2018,18.875,4,LightYellow,D
170,2019,18.58333396911621,4,LightYellow,D
171,2020,21.46666717529297,5,Vanilla,E
172,2021,21.066665649414062,5,Vanilla,E
173,2022,20.841665267944336,5,Vanilla,E
